Ã¯Â»Â¿No.,"Author, Specimen ID ",Comments,Cross-section,Test Type and Configuration,Sustained Loading (% Ultimate),Width (mm),Depth (mm),Length (mm),Test Length (mm),Side Cover to Ctr of Tension Bar (mm),Bottom Cover to Ctr of Tension Bar (mm),Top Cover to Ctr of Compression Bar (mm),Reinforcement Design,# Tensile Bars,"Diameter Tensile Bars, db,t (mm)","Tension Reinforcement Ratio, pten (%)",# Compression Bars,"Diameter Comp Bars, db,c (mm)",Longitudinal Bar Type,Tension Bar End Anchorage,Lsplice (mm),"fy Longitudinal Bars (Tensile), (MPa) ","fsu Long Bars, (MPa)","Comp Reinforcement Ratio, pcom (%)",# Stirrup Legs,Stirrup Bar Type,"Stirrup Spacing, s (mm) ","Stirrup Diameter, ds (mm)","fy,s Stirrup Bars","Stirrup Volumetric Ratio, ÃÂs",Cement Type,W/C Ratio,Max Aggregate Size (mm),Comp. Test Method,f'c (MPa),Corrosion Method,Cathode Type,"Corrosion Zone Length, Lc (mm)","Corrosion Current Density, Icorr (ÃÂ¼A/cm2)","Duration, (days)",Solution Concetration (% NaCl),Immersion Depth (mm),Wet/Dry Cyclic Ratio (days),"Mass Loss (Tensile bars), ÃÂ·m (%)","Average Sample Length, (mm)","Corrosion Penetration Depth, Xaver (mm)","Shear Span, x (mm)",Py (kN),Pmax (kN),"Mmax,exp (kNm)","Residual Capacity, R (%)",MACI (kNm),"Mmax,exp/ MACI (%)",ÃÂy (mm),ÃÂult (mm),"Elastic Stiffness, k (kN/mm)","Displacement Ductility, ÃÂ¼ÃÂ",Failure Mode,Extra Notes
142,"Castel et al. (2000a), B1T",Sustained loading maintained during 12 year storage prior to further testing.,R,SS_TPB_MONO_SUST,50,150,280,3000,2860,26,22,19,T_C,2,12,0.539,2,6,D,S,0,550,605,0.135,2,P,220,6,550,0.171,OPC-HP,0.5,15,Cylinder,65.3,C,Control,0,0,0,3.5,280,N/A,0,0,0,1430,46.16,54,38.61,100,31.15,123.96,3.89,84.5,11.87,21.72,Flexural-bending (ductile),Loaded under same sustained conditions as corroded test for 12 years.
143,"Castel et al. (2000a), B1CL",Sustained loading maintained during 12 year EI corrosion (wet/dry cycled for 6 years) in storage prior to further testing.,R,SS_TPB_MONO_SUST,50,150,280,3000,2860,26,22,19,T_C,2,12,0.539,2,6,D,S,0,438.9,474.32,0.135,2,P,220,6,550,0.171,OPC-HP,0.5,15,Cylinder,63.4,EI,N/A,3000,1.8,4748,3.5,280,7:7,20,300,0.6,1430,36.72,42,30.03,77.78,31.12,96.5,4.82,26.7,7.62,5.54,Flexural-bending (brittle),Small cover of 10 mm used to induce faster natural corrosion (12 years) in specimens. First 6 years of salt fog wet/dry (15:15 days) cycled before constant fog applied for next 6 years. Salt fog (35 g/L NaCl) used 0.1 MPa compressed air.
144,"Jin and Zhao (2001), BD1",Control.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,H-90,0,428,650,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,C,Control,0,,,0,0,N/A,0,0,0,300,62.53,68,10.2,100,10.91,93.51,2.96,4.21,21.13,1.42,Flexural-bending (ductile),Average cubic compressive strength reported.
145,"Jin and Zhao (2001), BD2",Tensile reinforcement isolated for independent corrosion.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,H-90,0,423.77,644.38,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,IC,External stainless steel plate,1140,,,5,50,N/A,0.54,1140,0.016,300,,63.53,9.53,93.43,10.91,87.37,,,,,Flexural-bending (ductile),"Average cubic compressive strength reported. Yield load, yield and ultimate displacements, corrosion duration, current density not reported."
146,"Jin and Zhao (2001), BD3",Tensile reinforcement isolated for independent corrosion.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,H-90,0,410.69,627.02,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,IC,External stainless steel plate,1140,,,5,50,N/A,2.21,1140,0.066,300,62.33,65.6,9.84,96.47,10.91,90.21,4.15,5.2,15.02,1.25,Flexural-bending (ductile),"Average cubic compressive strength reported. Yield load, yield and ultimate displacements, corrosion duration, current density not reported."
147,"Jin and Zhao (2001), BD4",Tensile reinforcement isolated for independent corrosion.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,H-90,0,418.29,637.1,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,IC,External stainless steel plate,1140,,,5,50,N/A,1.24,1140,0.037,300,,62.13,9.32,91.37,10.91,85.44,,,,,Flexural-bending (ductile),"Average cubic compressive strength reported. Yield load, yield and ultimate displacements, corrosion duration, current density not reported."
148,"Jin and Zhao (2001), BD5",Tensile reinforcement isolated for independent corrosion.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,H-90,0,418.29,637.1,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,IC,External stainless steel plate,1140,,,5,50,N/A,1.24,1140,0.037,300,,68.47,10.27,100.69,10.91,94.15,,,,,Flexural-bending (ductile),"Average cubic compressive strength reported. Yield load, yield and ultimate displacements, corrosion duration, current density not reported."
149,"Jin and Zhao (2001), BD6",Tensile reinforcement isolated for independent corrosion.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,H-90,0,418.05,636.79,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,IC,External stainless steel plate,1140,,,5,50,N/A,1.27,1140,0.038,300,,63.53,9.53,93.43,10.91,87.37,,,,,Flexural-bending (ductile),"Average cubic compressive strength reported. Yield load, yield and ultimate displacements, corrosion duration, current density not reported."
150,"Jin and Zhao (2001), BD7",Tensile reinforcement isolated for independent corrosion.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,H-90,0,411.16,627.64,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,IC,External stainless steel plate,1140,,,5,50,N/A,2.15,1140,0.065,300,52.53,59.4,8.91,87.35,10.91,81.68,2.89,5.17,18.18,1.79,Flexural-bending (ductile),"Average cubic compressive strength reported. Yield load, yield and ultimate displacements, corrosion duration, current density not reported."
151,"Jin and Zhao (2001), BD8",Tensile reinforcement isolated for independent corrosion.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,H-90,0,405.91,620.67,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,IC,External stainless steel plate,1140,,,5,50,N/A,2.82,1140,0.085,300,,60.47,9.07,88.92,10.91,83.15,,,,,Flexural-bending (ductile),"Average cubic compressive strength reported. Yield load, yield and ultimate displacements, corrosion duration, current density not reported."
152,"Jin and Zhao (2001), BD9",Tensile reinforcement isolated for independent corrosion.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,H-90,0,405.83,620.57,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,IC,External stainless steel plate,1140,,,5,50,N/A,2.83,1140,0.085,300,,63.53,9.53,93.43,10.91,87.37,,,,,Flexural-bending (ductile),"Average cubic compressive strength reported. Yield load, yield and ultimate displacements, corrosion duration, current density not reported."
153,"Jin and Zhao (2001), BD10",Tensile reinforcement isolated for independent corrosion.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,H-90,0,405.44,620.05,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,IC,External stainless steel plate,1140,,,5,50,N/A,2.88,1140,0.086,300,,57.93,8.69,85.2,10.91,79.67,,,,,Flexural-bending (ductile),"Average cubic compressive strength reported. Yield load, yield and ultimate displacements, corrosion duration, current density not reported."
154,"Jin and Zhao (2001), BD11",Tensile reinforcement isolated for independent corrosion.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,H-90,0,400.98,614.12,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,IC,External stainless steel plate,1140,,,5,50,N/A,3.45,1140,0.104,300,52.2,57.93,8.69,85.2,10.91,79.67,3.46,5.12,15.09,1.48,Flexural-bending (ductile),"Average cubic compressive strength reported. Yield load, yield and ultimate displacements, corrosion duration, current density not reported."
155,"Jin and Zhao (2001), BD12",Tensile reinforcement isolated for independent corrosion.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,H-90,0,395.57,606.94,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,IC,External stainless steel plate,1140,,,5,50,N/A,4.14,1140,0.124,300,,54.67,8.2,80.39,10.91,75.17,,,,,Flexural-bending (ductile),"Average cubic compressive strength reported. Yield load, yield and ultimate displacements, corrosion duration, current density not reported."
156,"Jin and Zhao (2001), BD13",Tensile reinforcement isolated for independent corrosion.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,H-90,0,387.27,595.92,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,IC,External stainless steel plate,1140,,,5,50,N/A,5.2,1140,0.156,300,,57.93,8.69,85.2,10.91,79.67,,,,,Flexural-bending (ductile),"Average cubic compressive strength reported. Yield load, yield and ultimate displacements, corrosion duration, current density not reported."
157,"Jin and Zhao (2001), BD14",Tensile reinforcement isolated for independent corrosion.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,H-90,0,380.85,587.39,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,IC,External stainless steel plate,1140,,,5,50,N/A,6.02,1140,0.181,300,46.6,51.73,7.76,76.08,10.91,71.14,3.74,5.07,12.46,1.36,Flexural-bending (ductile),"Average cubic compressive strength reported. Yield load, yield and ultimate displacements, corrosion duration, current density not reported."
158,"Jin and Zhao (2001), BDU1",Control.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,S,0,428,650,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,C,Control,0,,,0,0,N/A,0,1140,0,300,,66.07,9.91,100,10.91,90.85,,,,,Flexural-bending (ductile),Average cubic compressive strength reported.
159,"Jin and Zhao (2001), BDU2",Tensile reinforcement isolated for independent corrosion.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,S,0,390.01,599.56,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,IC,External stainless steel plate,1140,,,5,50,N/A,4.85,1140,0.146,300,,57.07,8.56,86.38,10.91,78.48,,,,,Flexural-bending (ductile),"Average cubic compressive strength reported. Yield load, yield and ultimate displacements, corrosion duration, current density not reported."
160,"Jin and Zhao (2001), BDU3",Tensile reinforcement isolated for independent corrosion.,S,SS_FPB_MONO,0,150,150,1140,900,22.5,22.5,15,T_C,2,12,1.005,2,6,D,S,0,384.3,591.97,0.251,2,P,100,6,235,0.377,OPC,0.55,,Cube,22.1,IC,External stainless steel plate,1140,,,5,50,N/A,5.58,1140,0.167,300,,55.47,8.32,83.96,10.91,76.27,,,,,Flexural-bending (ductile),"Average cubic compressive strength reported. Yield load, yield and ultimate displacements, corrosion duration, current density not reported."
161,"Torres-Acosta et al. (2003), V01",Control,R,SS_TPB_MONO,0,100,150,1500,1500,50,25,0,ST,1,10,0.524,0,0,D,S,0,415,664,0,0,N/A,0,0,0,0,OPC,0.5,19,Cylinder,37,C,Control,0,0,0,0,0,N/A,0,0,0,750,9.1,,3.41,91.46,3.91,87.38,,,,,Flexural-bending (ductile),"Concrete compressive strength averaged for 28 day cylinders. Failure mode not reported - mode assumed based on force-displacement curves (not all are provided). Ultimate load, yield displacement and ultimate displacement not reported."
162,"Torres-Acosta et al. (2003), V02",Control,R,SS_TPB_MONO,0,100,150,1500,1500,50,25,0,ST,1,10,0.524,0,0,D,S,0,415,664,0,0,N/A,0,0,0,0,OPC,0.5,19,Cylinder,37,C,Control,0,0,0,0,0,N/A,0,0,0,750,10.8,11.6,4.05,108.54,3.91,103.7,5.3,10,2.04,1.89,Flexural-bending (brittle),Concrete compressive strength averaged for 28 day cylinders.
163,"Torres-Acosta et al. (2003), V03",Corrosion initiated approx. 50 days after casting. Central 1000 mm of tensile reinforcement subjected to corrosion.,R,SS_TPB_MONO,0,100,150,1500,1500,50,25,0,ST,1,10,0.524,0,0,D,S,0,310.27,517.5,0,0,N/A,0,0,0,0,OPC,0.5,19,Cylinder,37,IC,Internal stainless steel rod,1000,200,80,3.5,150,N/A,13.79,1000,0.345,750,9,,3.38,90.45,3.91,86.42,,,,,Flexural-bending (ductile),"Chloride ions cast in concrete (3% by cement weight) mixture across entire length to initially depassivate steel and remove need for wetting/drying. Concrete compressive strength averaged for 28 day cylinders. Failure mode not reported - mode assumed based on force-displacement curves (not all are provided). Ultimate load, yield displacement and ultimate displacement not reported."
164,"Torres-Acosta et al. (2003), V04",Corrosion initiated approx. 50 days after casting. Central 250 mm of tensile reinforcement subjected to corrosion.,R,SS_TPB_MONO,0,100,150,1500,1500,50,25,0,ST,1,10,0.524,0,0,D,S,0,317.11,527.06,0,0,N/A,0,0,0,0,OPC,0.5,19,Cylinder,37,IC,Internal stainless steel rod,250,200,80,3.5,150,N/A,12.89,250,0.322,750,10.2,13.2,3.83,102.51,3.91,97.94,4.7,39.3,2.17,8.36,Flexural-bending (ductile),Chloride ions cast in concrete (3% by cement weight) mixture across entire length to initially depassivate steel and remove need for wetting/drying. Concrete compressive strength averaged for 28 day cylinders.
165,"Torres-Acosta et al. (2003), V05",Corrosion initiated approx. 50 days after casting. Central 250 mm of tensile reinforcement subjected to corrosion.,R,SS_TPB_MONO,0,100,150,1500,1500,50,25,0,ST,1,10,0.524,0,0,D,S,0,311.64,519.41,0,0,N/A,0,0,0,0,OPC,0.5,19,Cylinder,37,IC,Internal stainless steel rod,250,200,80,3.5,150,N/A,13.61,250,0.34,750,9.5,,3.56,95.48,3.91,91.22,,,,,Flexural-bending (ductile),"Chloride ions cast in concrete (3% by cement weight) mixture across entire length to initially depassivate steel and remove need for wetting/drying. Concrete compressive strength averaged for 28 day cylinders. Failure mode not reported - mode assumed based on force-displacement curves (not all are provided). Ultimate load, yield displacement and ultimate displacement not reported."
166,"Torres-Acosta et al. (2003), V06",Corrosion initiated approx. 50 days after casting. Central 250 mm of tensile reinforcement subjected to corrosion.,R,SS_TPB_MONO,0,100,150,1500,1500,50,25,0,ST,1,10,0.524,0,0,D,S,0,217.69,387.99,0,0,N/A,0,0,0,0,OPC,0.5,19,Cylinder,37,IC,Internal stainless steel rod,250,200,180,3.5,150,N/A,25.98,250,0.65,750,9,,3.38,90.45,3.91,86.42,,,,,Flexural-bending (brittle),"Chloride ions cast in concrete (3% by cement weight) mixture across entire length to initially depassivate steel and remove need for wetting/drying. Concrete compressive strength averaged for 28 day cylinders. Failure mode not reported - mode assumed based on force-displacement curves (not all are provided). Ultimate load, yield displacement and ultimate displacement not reported."
167,"Torres-Acosta et al. (2003), V07",Corrosion initiated approx. 50 days after casting. Central 25 mm of tensile reinforcement subjected to corrosion.,R,SS_TPB_MONO,0,100,150,1500,1500,50,25,0,ST,1,10,0.524,0,0,D,S,0,257.57,443.76,0,0,N/A,0,0,0,0,OPC,0.5,19,Cylinder,37,IC,Internal stainless steel rod,25,200,80,3.5,150,N/A,20.73,25,0.518,750,9.6,,3.6,96.48,3.91,92.18,,,,,Flexural-bending (ductile),"Chloride ions cast in concrete (3% by cement weight) mixture across entire length to initially depassivate steel and remove need for wetting/drying. Concrete compressive strength averaged for 28 day cylinders. Failure mode not reported - mode assumed based on force-displacement curves (not all are provided). Ultimate load, yield displacement and ultimate displacement not reported."
168,"Torres-Acosta et al. (2003), V08",Corrosion initiated approx. 50 days after casting. Central 25 mm of tensile reinforcement subjected to corrosion.,R,SS_TPB_MONO,0,100,150,1500,1500,50,25,0,ST,1,10,0.524,0,0,D,S,0,282.1,478.08,0,0,N/A,0,0,0,0,OPC,0.5,19,Cylinder,37,IC,Internal stainless steel rod,25,200,80,3.5,150,N/A,17.5,25,0.438,750,9.2,,3.45,92.46,3.91,88.34,,,,,Flexural-bending (ductile),"Chloride ions cast in concrete (3% by cement weight) mixture across entire length to initially depassivate steel and remove need for wetting/drying. Concrete compressive strength averaged for 28 day cylinders. Failure mode not reported - mode assumed based on force-displacement curves (not all are provided). Ultimate load, yield displacement and ultimate displacement not reported."
169,"Torres-Acosta et al. (2003), V09",Corrosion initiated approx. 50 days after casting. Central 1000 mm of tensile reinforcement subjected to corrosion.,R,SS_TPB_MONO,0,100,150,1500,1500,50,25,0,ST,1,10,0.524,0,0,D,S,0,312.55,520.68,0,0,N/A,0,0,0,0,OPC,0.5,19,Cylinder,37,IC,Internal stainless steel rod,1000,200,80,3.5,150,N/A,13.49,1000,0.337,750,10.2,11,3.83,102.51,3.91,97.94,8.7,25.3,1.17,2.91,Flexural-bending (ductile),Chloride ions cast in concrete (3% by cement weight) mixture across entire length to initially depassivate steel and remove need for wetting/drying. Concrete compressive strength averaged for 28 day cylinders.
170,"Torres-Acosta et al. (2003), V10",Corrosion initiated approx. 50 days after casting. Central 250 mm of tensile reinforcement subjected to corrosion.,R,SS_TPB_MONO,0,100,150,1500,1500,50,25,0,ST,1,10,0.524,0,0,D,S,0,232.43,408.6,0,0,N/A,0,0,0,0,OPC,0.5,19,Cylinder,37,IC,Internal stainless steel rod,250,200,180,3.5,150,N/A,24.04,250,0.601,750,7.7,9.6,2.89,77.39,3.91,73.94,5,17,1.54,3.4,Flexural-bending (brittle),Chloride ions cast in concrete (3% by cement weight) mixture across entire length to initially depassivate steel and remove need for wetting/drying. Concrete compressive strength averaged for 28 day cylinders.
171,"Torres-Acosta et al. (2003), V11",Corrosion initiated approx. 50 days after casting. Central 250 mm of tensile reinforcement subjected to corrosion.,R,SS_TPB_MONO,0,100,150,1500,1500,50,25,0,ST,1,10,0.524,0,0,D,S,0,351.51,575.18,0,0,N/A,0,0,0,0,OPC,0.5,19,Cylinder,37,IC,Internal stainless steel rod,250,200,40,3.5,150,N/A,8.36,250,0.209,750,9.8,,3.68,98.49,3.91,94.1,,,,,Flexural-bending (ductile),"Chloride ions cast in concrete (3% by cement weight) mixture across entire length to initially depassivate steel and remove need for wetting/drying. Concrete compressive strength averaged for 28 day cylinders. Failure mode not reported - mode assumed based on force-displacement curves (not all are provided). Ultimate load, yield displacement and ultimate displacement not reported."
172,"Torres-Acosta et al. (2003), V12",Corrosion initiated approx. 50 days after casting. Central 250 mm of tensile reinforcement subjected to corrosion.,R,SS_TPB_MONO,0,100,150,1500,1500,50,25,0,ST,1,10,0.524,0,0,D,S,0,353.03,577.31,0,0,N/A,0,0,0,0,OPC,0.5,19,Cylinder,37,IC,Internal stainless steel rod,250,200,40,3.5,150,N/A,8.16,250,0.204,750,9.5,,3.56,95.48,3.91,91.22,,,,,Flexural-bending (ductile),"Chloride ions cast in concrete (3% by cement weight) mixture across entire length to initially depassivate steel and remove need for wetting/drying. Concrete compressive strength averaged for 28 day cylinders. Failure mode not reported - mode assumed based on force-displacement curves (not all are provided). Ultimate load, yield displacement and ultimate displacement not reported."
